Client Algo.,Num. Client,Local Epoch,Test Score,Round
CQL-FL,4,2,100.0,514
CQL-FL,4,2,100.0,515
CQL-FL,4,2,100.0,516
CQL-FL,4,2,100.0,517
CQL-FL,4,2,100.0,518
CQL-FL,4,2,100.0,519
CQL-FL,4,2,100.0,520
CQL-FL,4,2,100.0,521
CQL-FL,4,2,100.0,522
CQL-FL,4,2,100.0,523
CQL-FL,4,2,100.0,524
CQL-FL,4,2,100.0,525
CQL-FL,4,2,100.0,526
CQL-FL,4,2,100.0,527
CQL-FL,4,2,100.0,528
CQL-FL,4,2,100.0,529
CQL-FL,4,2,100.0,530
CQL-FL,4,2,100.0,531
CQL-FL,4,2,100.0,532
CQL-FL,4,2,100.0,533
CQL-FL,4,2,100.0,534
CQL-FL,4,2,100.0,535
CQL-FL,4,2,100.0,536
CQL-FL,4,2,100.0,537
CQL-FL,4,2,100.0,538
CQL-FL,4,2,100.0,539
CQL-FL,4,2,100.0,540
CQL-FL,4,2,100.0,541
CQL-FL,4,2,100.0,542
CQL-FL,4,2,100.0,543
CQL-FL,4,2,100.0,544
CQL-FL,4,2,100.0,545
CQL-FL,4,2,100.0,546
CQL-FL,4,2,100.0,547
CQL-FL,4,2,100.0,548
CQL-FL,4,2,100.0,549
CQL-FL,4,2,100.0,550
CQL-FL,4,2,100.0,551
CQL-FL,4,2,100.0,552
CQL-FL,4,2,100.0,553
CQL-FL,4,2,100.0,554
CQL-FL,4,2,100.0,555
CQL-FL,4,2,100.0,556
CQL-FL,4,2,100.0,557
CQL-FL,4,2,100.0,558
CQL-FL,4,2,100.0,559
CQL-FL,4,2,100.0,560
CQL-FL,4,2,100.0,561
CQL-FL,4,2,100.0,562
CQL-FL,4,2,100.0,563
CQL-FL,4,2,100.0,564
CQL-FL,4,2,100.0,565
CQL-FL,4,2,100.0,566
CQL-FL,4,2,100.0,567
CQL-FL,4,2,100.0,568
CQL-FL,4,2,100.0,569
CQL-FL,4,2,100.0,570
CQL-FL,4,2,100.0,571
CQL-FL,4,2,100.0,572
CQL-FL,4,2,100.0,573
CQL-FL,4,2,100.0,574
CQL-FL,4,2,100.0,575
CQL-FL,4,2,100.0,576
CQL-FL,4,2,100.0,577
CQL-FL,4,2,100.0,578
CQL-FL,4,2,100.0,579
CQL-FL,4,2,100.0,580
CQL-FL,4,2,100.0,581
CQL-FL,4,2,100.0,582
CQL-FL,4,2,100.0,583
CQL-FL,4,2,100.0,584
CQL-FL,4,2,100.0,585
CQL-FL,4,2,100.0,586
CQL-FL,4,2,100.0,587
CQL-FL,4,2,100.0,588
CQL-FL,4,2,100.0,589
CQL-FL,4,2,100.0,590
CQL-FL,4,2,100.0,591
CQL-FL,4,2,100.0,592
CQL-FL,4,2,100.0,593
CQL-FL,4,2,100.0,594
CQL-FL,4,2,100.0,595
CQL-FL,4,2,100.0,596
CQL-FL,4,2,100.0,597
CQL-FL,4,2,100.0,598
CQL-FL,4,2,100.0,599
CQL-FL,4,2,100.0,600
CQL-FL,4,2,100.0,601
CQL-FL,4,2,100.0,602
CQL-FL,4,2,100.0,603
CQL-FL,4,2,100.0,604
CQL-FL,4,2,100.0,605
CQL-FL,4,2,100.0,606
CQL-FL,4,2,100.0,607
CQL-FL,4,2,100.0,608
CQL-FL,4,2,100.0,609
CQL-FL,4,2,100.0,610
CQL-FL,4,2,100.0,611
CQL-FL,4,2,100.0,612
CQL-FL,4,2,100.0,613
CQL-FL,4,2,100.0,614
CQL-FL,4,2,100.0,615
CQL-FL,4,2,100.0,616
CQL-FL,4,2,100.0,617
CQL-FL,4,2,100.0,618
CQL-FL,4,2,100.0,619
CQL-FL,4,2,100.0,620
CQL-FL,4,2,100.0,621
CQL-FL,4,2,100.0,622
CQL-FL,4,2,100.0,623
CQL-FL,4,2,100.0,624
CQL-FL,4,2,100.0,625
CQL-FL,4,2,100.0,626
CQL-FL,4,2,100.0,627
CQL-FL,4,2,100.0,628
CQL-FL,4,2,100.0,629
CQL-FL,4,2,100.0,630
CQL-FL,4,2,100.0,631
CQL-FL,4,2,100.0,632
CQL-FL,4,2,100.0,633
CQL-FL,4,2,100.0,634
CQL-FL,4,2,100.0,635
CQL-FL,4,2,100.0,636
CQL-FL,4,2,100.0,637
CQL-FL,4,2,100.0,638
CQL-FL,4,2,100.0,639
CQL-FL,4,2,100.0,640
CQL-FL,4,2,100.0,641
CQL-FL,4,2,100.0,642
CQL-FL,4,2,100.0,643
CQL-FL,4,2,100.0,644
CQL-FL,4,2,100.0,645
CQL-FL,4,2,100.0,646
CQL-FL,4,2,100.0,647
CQL-FL,4,2,100.0,648
CQL-FL,4,2,100.0,649
CQL-FL,4,2,100.0,650
CQL-FL,4,2,100.0,651
CQL-FL,4,2,100.0,652
CQL-FL,4,2,100.0,653
CQL-FL,4,2,100.0,654
CQL-FL,4,2,100.0,655
CQL-FL,4,2,100.0,656
CQL-FL,4,2,100.0,657
CQL-FL,4,2,100.0,658
CQL-FL,4,2,100.0,659
CQL-FL,4,2,100.0,660
CQL-FL,4,2,100.0,661
CQL-FL,4,2,100.0,662
CQL-FL,4,2,100.0,663
CQL-FL,4,2,100.0,664
CQL-FL,4,2,100.0,665
CQL-FL,4,2,100.0,666
CQL-FL,4,2,100.0,667
CQL-FL,4,2,100.0,668
CQL-FL,4,2,100.0,669
CQL-FL,4,2,100.0,670
CQL-FL,4,2,100.0,671
CQL-FL,4,2,100.0,672
CQL-FL,4,2,100.0,673
CQL-FL,4,2,100.0,674
CQL-FL,4,2,100.0,675
CQL-FL,4,2,100.0,676
CQL-FL,4,2,100.0,677
CQL-FL,4,2,100.0,678
CQL-FL,4,2,100.0,679
CQL-FL,4,2,100.0,680
CQL-FL,4,2,100.0,681
CQL-FL,4,2,100.0,682
CQL-FL,4,2,100.0,683
CQL-FL,4,2,100.0,684
CQL-FL,4,2,100.0,685
CQL-FL,4,2,100.0,686
CQL-FL,4,2,100.0,687
CQL-FL,4,2,100.0,688
CQL-FL,4,2,100.0,689
CQL-FL,4,2,100.0,690
CQL-FL,4,2,100.0,691
CQL-FL,4,2,100.0,692
CQL-FL,4,2,100.0,693
CQL-FL,4,2,100.0,694
CQL-FL,4,2,100.0,695
CQL-FL,4,2,100.0,696
CQL-FL,4,2,100.0,697
CQL-FL,4,2,100.0,698
CQL-FL,4,2,100.0,699
CQL-FL,4,2,100.0,700
CQL-FL,4,2,100.0,701
CQL-FL,4,2,100.0,702
CQL-FL,4,2,100.0,703
CQL-FL,4,2,100.0,704
CQL-FL,4,2,100.0,705
CQL-FL,4,2,100.0,706
CQL-FL,4,2,100.0,707
CQL-FL,4,2,100.0,708
CQL-FL,4,2,100.0,709
CQL-FL,4,2,100.0,710
CQL-FL,4,2,100.0,711
CQL-FL,4,2,100.0,712
CQL-FL,4,2,100.0,713
CQL-FL,4,2,100.0,714
CQL-FL,4,2,100.0,715
CQL-FL,4,2,100.0,716
CQL-FL,4,2,100.0,717
CQL-FL,4,2,100.0,718
CQL-FL,4,2,100.0,719
CQL-FL,4,2,100.0,720
CQL-FL,4,2,100.0,721
CQL-FL,4,2,100.0,722
CQL-FL,4,2,100.0,723
CQL-FL,4,2,100.0,724
CQL-FL,4,2,100.0,725
CQL-FL,4,2,100.0,726
CQL-FL,4,2,100.0,727
CQL-FL,4,2,100.0,728
CQL-FL,4,2,100.0,729
CQL-FL,4,2,100.0,730
CQL-FL,4,2,100.0,731
CQL-FL,4,2,100.0,732
CQL-FL,4,2,100.0,733
CQL-FL,4,2,100.0,734
CQL-FL,4,2,100.0,735
CQL-FL,4,2,100.0,736
CQL-FL,4,2,100.0,737
CQL-FL,4,2,100.0,738
CQL-FL,4,2,100.0,739
CQL-FL,4,2,100.0,740
CQL-FL,4,2,100.0,741
CQL-FL,4,2,100.0,742
CQL-FL,4,2,100.0,743
CQL-FL,4,2,100.0,744
CQL-FL,4,2,100.0,745
CQL-FL,4,2,100.0,746
CQL-FL,4,2,100.0,747
CQL-FL,4,2,100.0,748
CQL-FL,4,2,100.0,749
CQL-FL,4,2,100.0,750
CQL-FL,4,2,100.0,751
CQL-FL,4,2,100.0,752
CQL-FL,4,2,100.0,753
CQL-FL,4,2,100.0,754
CQL-FL,4,2,100.0,755
CQL-FL,4,2,100.0,756
CQL-FL,4,2,100.0,757
